Date of sale (dd-m-yyyy),Address,Location,Area (m^2),No. of rooms,Area of the plot (m^2),Closing price (kr)
13-Apr-2013,Åseby Österväg 28,"Bohuslän,Kungälvskommun",70,3,1263,1550000
11-Apr-2013,Plogvägen 188,"Ullstorp,Kungälvskommun",122,5,263,3300000
10-Apr-2013,Ringby 164,"Kareby,Kungälvskommun",128+32,4,1300,3250000
8-Apr-2013,Jorsalagatan 5,"Iskällan,Kungälvskommun",185+36,6,860,4100000
21-Mar-2013,Egnahemsgatan 10,"Centralt,Kungälvskommun",65+65,3,446,2825000
20-Mar-2013,Källeröd 220,"Kareby,Kungälvskommun",61,2,1696,1480000
8-Mar-2013,Bokstigen 4,"Centralt,Kungälvskommun",140+50,5,1661,3330000
26-Feb-2013,Hällristningsgatan 8,"Ytterby-Stället,Kungälvskommun",103,4,262,2725000
22-Aug-2021,Fontinvägen 16,"Bohuslän,Kungälvskommun",135+35,6,1012,6125000
21-Aug-2021,Västra gatan 6,"Bohuslän,Kungälvskommun",326+231,12,693,11000000
20-Aug-2021,Kuskalundsvägen 36,"HÅLTA,Kungälvskommun",138+23,6,1339,4100000
19-Aug-2021,Gömmet 120,"Romelanda,Kungälvskommun",197+19,5,2800,5250000
16-Aug-2021,Gunneröd 200,"Kärna,Kungälvskommun",40+10,3,789,2490000
16-Aug-2021,Ödsmål 360,"Ödsmål,Kungälvskommun",105+66,6,794,4700000
10-Aug-2021,Lagvägen 41,"Ytterby,Kungälvskommun",161,5,642,5035000
10-Aug-2021,Metesten 150,"Harestad,Kungälvskommun",131+19,5,1507,4300000
9-Aug-2021,Sjöhåla 580,"Kärna,Kungälvskommun",94+87,5,1068,3490000
9-Aug-2021,Duvesjön 215,"Romelanda,Kungälvskommun",90,3,1113,2750000
6-Aug-2021,Plogvägen 168,"Ullstorp,Kungälvskommun",122,5,299,5800000
6-Aug-2021,Sjöhåla 380,"Holmängen,Kungälvskommun",71+12,NaN,1527,2175000
4-Aug-2021,Munkholmsgatan 8,"Kungälv-Centralt,Kungälvskommun",120+60,7,639,6100000
2-Aug-2021,Hallsbrovägen 14,"Kärna,Kungälvskommun",145+61,5,2108,4500000
29-Jul-2021,Väktaregatan 9,"Centralt,Kungälvskommun",166+83,9,538,6900000
23-Jul-2021,Rådmansgatan 11,"KungälvCentralt,Kungälvskommun",167+122,6,547,6800000
21-Jul-2021,Flateby 470,"Harestad,Kungälvskommun",61+7,3,1409,2800000
20-Jul-2021,Rondan 20,"Ödsmålsmosse,Kungälvskommun",82+75,4,1326,3900000
15-Jul-2021,Olserödsgatan 10,"Olseröd,Kungälvskommun",118,5,285,4700000
13-Jul-2021,Nereby 370,"Hisingen,Kungälvskommun",65,3,1840,3550000
13-Jul-2021,Bergåsvägen 26,"Ytterby,Kungälvskommun",184+55,4,891,6450000
12-Jul-2021,Gömmet 130,"Romelanda,Kungälvskommun",160,7,3055,4900000
12-Jul-2021,Alvägen 5,"Bohuslän,Kungälvskommun",127,5,744,4550000
10-Jul-2021,Olserödsgatan 118,"Olseröd,Kungälvskommun",127+24,6,910,6200000
9-Jul-2021,Gömmet 110,"Romelanda,Kungälvskommun",153+24,3,30000,5600000
8-Jul-2021,Olsåker 110,"Kareby,Kungälvskommun",139+60,6,16226,5900000
8-Jul-2021,Källeröd 192,"Kareby,Kungälvskommun",141,6,1335,5295000
6-Jul-2021,Olvonvägen 17,"Diseröd,Kungälvskommun",162+17,7,683,5300000
5-Jul-2021,Bäckvägen 8,"Lökeberg,Kungälvskommun",85+43,4,1016,2750000
3-Jul-2021,Rävsal 170,"Olseröd,Kungälvskommun",124+50,5,2514,3525000
29-Jun-2021,Ön 150,"Kareby,Kungälvskommun",127,5,2077,5750000
28-Jun-2021,Klintegatan 8,"Kungälv-Centralt,Kungälvskommun",130+80,7,778,7100000
24-Jun-2021,Marias väg 17,"Aröd,Kungälvskommun",99+34,4,1318,4700000
24-Jun-2021,Skårby station 130,"Kareby,Kungälvskommun",89+96,4,1686,2600000
22-Jun-2021,Lilla Ryr 170,"Lycke,Kungälvskommun",40+9,2,1345,2900000
22-Jun-2021,Prästvägen 450,"Kareby,Kungälvskommun",116+50,4,2572,4600000
21-Jun-2021,Olserödsgatan 90,"Klöverbacken-Olseröd,Kungälvskommun",108,4,223,3600000
21-Jun-2021,Ekliden 8,"Centralt,Kungälvskommun",67+66,3,1041,5000000
19-Jun-2021,Vedhall 120,"Kärna,Kungälvskommun",88+49,4,2105,6500000
18-Jun-2021,Toreby 200,"Bohuslän,Kungälvskommun",103+130,4,2391,4100000
18-Jun-2021,Holm 285,"Kärna,Kungälvskommun",NaN,6,1091,4300000
17-Jun-2021,Häljeröd 300,"Kungälv-Romelanda,Kungälvskommun",223+25,7,3547,6900000
15-Jun-2021,Konvaljgatan 10,"Ytterby,Kungälvskommun",115,4,634,5050000
15-Jun-2021,Skutviksvägen 3,"Marstrand-Instön,Kungälvskommun",42+3,3,1223,4750000
14-Jun-2021,Harkvägen 349,"Kungälv-Ullstorp,Kungälvskommun",126,4,NaN,4900000
11-Jun-2021,Dotorp 540,"Kärna,Kungälvskommun",120,5,1214,3900000
11-Jun-2021,Otterlyckan 49,"Instön,Kungälvskommun",63,4,769,4900000
11-Jun-2021,Duvesjön 475,"Diseröd,Kungälvskommun",36,3,1577,1825000
10-Jun-2021,Helgonagatan 157,"Munkegärde,Kungälvskommun",109+109,7,903,5025000
9-Jun-2021,Dannemarksgatan 14,"Ytterby-Tega,Kungälvskommun",210+86,8,1203,6250000
26-Jan-2022,Häroldsgatan 5,"Centrum,Kungälvskommun",141,7,799,5700000
25-Jan-2022,Långåkersgatan 6,"Centralt,Kungälvskommun",140+36,5,733,7000000
24-Jan-2022,Västerhöjdsvägen 111,"Kärna,Kungälvskommun",103,5,423,2500000
22-Jan-2022,Valtersäng 11,"Trankärr,Kungälvskommun",162,4,808,6150000
21-Jan-2022,Skvaltvägen 3,"Diseröd,Kungälvskommun",180+145,8,1352,5975000
19-Jan-2022,Trätäljagatan 7,"Iskällan,Kungälvskommun",142+142,7,1037,7550000
18-Jan-2022,Snäckvägen 16,"Rörtången/ödsmålsmosse,Kungälvskommun",62,2,1801,3144000
18-Jan-2022,Hemvägen 21,"Diseröd,Kungälvskommun",108+32,4,384,4050000
11-Jan-2022,Ödsmål 540,"Rörtången,Kungälvskommun",65+31,4,916,3850000
8-Jan-2022,Lagvägen 17,"Ytterby,Kungälvskommun",164,5,597,5850000
7-Jan-2022,Mariebergsliden 5,"Öster,Kungälvskommun",277+91,7,589,10000000
30-Dec-2021,Älvängen 180,"Harestad,Kungälvskommun",75+58,4,1631,4150000
22-Dec-2021,Mossvägen 24,"Hålta,Kungälvskommun",72,3,1068,3500000
21-Dec-2021,Galeasgatan 6,"Komarken,Kungälvskommun",100,3,296,4000000
14-Dec-2021,Stenåldersgatan 50,"Stället,Kungälvskommun",110,5,221,4900000
9-Dec-2021,Munkegärdegatan  310,"Munkegärde,Kungälvskommun",146,6,622,6110000
8-Dec-2021,Stora Ryr 310,"Tjuvkil/Lycke,Kungälvskommun",106+55,5,1239,3695000
7-Dec-2021,Mårdgatan 11,"Klöverbacken-Olseröd,Kungälvskommun",166+12,5,367,6310000
6-Dec-2021,Ulvebackegatan 3,"Ulvegärde,Kungälvskommun",129+44,4,927,4600000
3-Dec-2021,Plogvägen 187,"Ullstorp,Kungälvskommun",122+6,5,406,5600000
3-Dec-2021,Galärgatan 1,"Centraltvidälven,Kungälvskommun",104+4,4,762,3900000
1-Dec-2021,Korpedalsvägen 13,"Aröd/Timmervik,Kungälvskommun",47+40,2,1179,2850000
30-Nov-2021,Grindstolpen 21,"Ytterby,Kungälvskommun","76,1",3,NaN,3950000
29-Nov-2021,Hanekullen 200,"Kareby,Kungälvskommun",114,4,1673,4200000
28-Nov-2021,Fontinvägen 13,"Bohuslän,Kungälvskommun",120+110,4,1167,6960500
26-Nov-2021,Kyrkeby 300,"Harestad,Kungälvskommun",114+117,6,1402,4170000
25-Nov-2021,Parkgatan 21,"Marstrand-Koön,Kungälvskommun",113+76,7,592,6100000
25-Nov-2021,Bäckgatan 38,"Centrum,Kungälvskommun",108+60,7,607,6670000
23-Nov-2021,Bärtas väg 7,"Kode,Kungälvskommun",53,2,1792,2950000
18-Nov-2021,Lundby 380,"Kareby,Kungälvskommun",140,NaN,1818,5200000
17-Nov-2021,Nygatan 36,"Marstrand,Kungälvskommun",118+30,4,146,5900000
17-Nov-2021,Hammarberg 840,"Kode,Kungälvskommun",82+14,3,1893,3420000
16-Nov-2021,Duvesjön 360,"Duvesjön,Kungälvskommun","109,6",4,968,4600000
15-Nov-2021,Vallgatan 3,"Kungälv-Centralt,Kungälvskommun",65+61,5,495,5800000
12-Nov-2021,Vallby 210,"Kode,Kungälvskommun",70,3,1260,2550000
12-Nov-2021,Dotorp 470,"Kärna,Kungälvskommun",127,4,18448,6495000
11-Nov-2021,Prästvägen,"Bohuslän,Kungälvskommun",NaN,NaN,24755,1725000
10-Nov-2021,Bremnäs 400,"Lycke,Kungälvskommun",130,4,2562,5800000
10-Nov-2021,Hammarhöjden 680,"Kode,Kungälvskommun",100,5,1059,3650000
5-Nov-2021,Stenhålt 124,"Romelanda,Kungälvskommun",163,7,1668,5600000
4-Nov-2021,Veneröd 430,"Hålta,Kungälvskommun",92,4,1376,3825000
4-Nov-2021,Poppelvägen 1,"Diseröd,Kungälvskommun",138,5,788,4300000
3-Nov-2021,Hammarhöjden 695,"Kode,Kungälvskommun",92,3,1053,3600000
3-Nov-2021,Grindklykan 7,"Grinden,Kungälvskommun",114+7,4,392,5095000
30-Oct-2021,Oxelvägen 24,"Diseröd,Kungälvskommun",139,6,404,4000000
30-Oct-2021,Granliden 9,"Vedhall,Kungälvskommun",181+25,5,678,9550000
29-Oct-2021,Dalen 150,"Kärna,Kungälvskommun",154,6,1052,5065000
28-Oct-2021,Östra gatan 43,"Bohuslän,Kungälvskommun",134+31,5,"1403,6",5600000
27-Oct-2021,Hamngatan 1,"Centraltvidälven,Kungälvskommun",136+83,6,617,6010000
26-Oct-2021,Kaprifolvägen 6,"Kärna,Kungälvskommun",128,5,524,4800000
31-Mar-2020,Duvesjön 216,"Bohuslän,Kungälvskommun",153,5,2091,4135000
30-Mar-2020,Lyckan 2,"Komarken,Kungälvskommun",111+60,7,861,3630000
28-Mar-2020,Klövergången 8,"Centralt,Kungälvskommun",125,4,402,3730000
27-Mar-2020,Häradsvägen 30,"Ytterby,Kungälvskommun",130,NaN,372,2400000
27-Mar-2020,Murhammarvägen 1,"Kareby,Kungälvskommun",122,5,822,3510000
27-Mar-2020,Löstorp 160,"Kareby,Kungälvskommun",62+24,3,1282,2850000
27-Mar-2020,Ädelstensvägen 52,"Kode,Kungälvskommun",123,3,334,4150000
27-Mar-2020,Sundhammarsvägen 480,"Sundhammar,Kungälvskommun",167,6,2290,4680000
26-Mar-2020,Harkvägen 343,"Kungälv,Kungälvskommun",131,5,NaN,4000000
26-Mar-2020,Östergårdsgatan 61,"Tega,Kungälvskommun",179,6,1204,5010000
23-Mar-2020,Rishammarvägen 11,"Kareby,Kungälvskommun",115+28,6,2862,5525000
20-Mar-2020,Beryllvägen 25,"Kode,Kungälvskommun",123,5,383,4100000
12-Mar-2020,Västra gatan 18B,"Centrum,Kungälvskommun",160,6,746,6000000
11-Mar-2020,Alvägen 1,"Diseröd,Kungälvskommun",126+43,6,668,3795000
9-Mar-2020,Byvägen 50,"Ödsmålsmosse,Kungälvskommun",163+52,5,1275,4400000
7-Mar-2020,Kulleskärsvägen 37,"Tjuvkil/Lycke,Kungälvskommun",64,3,1456,2650000
6-Mar-2020,Skårsäng 25,"Kärna,Kungälvskommun",147+9,6,547,4650000
5-Mar-2020,Häljeröd 380,"Diseröd,Kungälvskommun",140+190,7,3521,4425000
3-Mar-2020,Östergårdsgatan 27,"Ytterby,Kungälvskommun",156,5,777,4450000
3-Mar-2020,Tjuvkil 140,"Tjuvkil,Kungälvskommun",80+12,3,2819,2900000
2-Mar-2020,Fontinvägen 32,"KungälvCentralt,Kungälvskommun",160+50,7,811,6300000
2-Mar-2020,Duvesjön 327,"Kungälv-Duvesjön,Kungälvskommun",103+24,4,1320,3900000
1-Mar-2020,Ulvedalsgatan 10,"Ulvegärde,Kungälvskommun",154,5,1031,5100000
28-Feb-2020,Truskärsvägen 9C,"Tjuvkil,Kungälvskommun",168,7,1039,5750000
27-Feb-2020,Ivar Claessons gata 8,"Kungälv,Kungälvskommun",121+30,6,1103,5500000
26-Feb-2020,Storskiftegatan 71,"ÖvreTega,Kungälvskommun",129+28,5,798,5600000
26-Feb-2020,Krappvägen 556,"Bohuslän,Kungälvskommun",174+40,6,783,7925000
23-Feb-2020,Fregattgatan 6,"Centraltvidälven,Kungälvskommun",180,7,630,5330000
21-Feb-2020,Nolby 325,"Kungälv,Kungälvskommun",159,4,29096,6700000
21-Feb-2020,Stenåldersgatan 59,"Ytterby,Kungälvskommun",107,5,400,4520000
21-Feb-2020,Brunnefjällsvägen 26,"Kärna,Kungälvskommun",79+5,3,1157,2360000
19-Feb-2020,Reidarsgatan 3,"Centraltvidälven,Kungälvskommun",150+28,5,686,5350000
19-Feb-2020,Lefstadvägen 27,"Kärna,Kungälvskommun",113+21,3,1351,4090000
11-Feb-2020,Fågelstigen 41,"Centralt,Kungälvskommun",126,5,590,4300000
10-Feb-2020,Täljstensgatan 2,"Stället,Kungälvskommun",70,3,551,3600000
7-Feb-2020,Rishammar 110,"Kareby,Kungälvskommun",140+19,6,1205,4135000
6-Feb-2020,Solbräcke 214,"Kungälv,Kungälvskommun",148,4,882,4950000
5-Feb-2020,Lilla Fjellsholmen 17,"LillaFjellsholmen,Kungälvskommun",NaN,5,400,6900000
3-Feb-2020,Mariebergsvägen 150,"Kungälv,Kungälvskommun",173+86,8,4083,4250000
2-Feb-2020,Åsebyberg 940,"Kode,Kungälvskommun",138+30,5,57649,4400000
30-Jan-2020,Jägarvägen 5,"Diseröd,Kungälvskommun",168+8,7,550,3795000
28-Jan-2020,Staby 780,"Kärna,Kungälvskommun",108+50,4,2026,3050000
28-Jan-2020,Gräsgången 1,"Komarken,Kungälvskommun",125,4,435,4100000
28-Jan-2020,Toreby mosse 600,"HarestadochKärna,Kungälvskommun",104+16,4,1622,3900000
28-Jan-2020,Hemvägen 19,"Romelanda,Kungälvskommun",119+19,5,381,2900000
24-Jan-2020,Lerskärsvägen 51,"Lycke,Kungälvskommun",75,4,1591,3125000
22-Jan-2020,Gårdskiftegatan 72,"Ytterby,Kungälvskommun",105+109,6,856,5050000
22-Jan-2020,Onyxvägen 14,"Kode,Kungälvskommun",123,5,546,4125000
21-Jan-2020,Duvesjön 201,"Bohuslän,Kungälvskommun",38+9,2,1390,1880000
21-Jan-2020,Kyrkeby 296,"Kärna,Kungälvskommun",146,5,1499,4300000
9-Oct-2023,Skårby station 350,"Kareby,Kungälvskommun",143+25,7,2303,3005000
5-Oct-2023,Högalidsgatan 3,"Centrum,Kungälvskommun",103+103,5,862,3800000
3-Oct-2023,Kungälvsvägen 22,"Centralt,Kungälvskommun",77+46,5,1548,4500000
2-Oct-2023,Ädelstensvägen 58,"Kode,Kungälvskommun",123,6,379,4075000
27-Sep-2023,Kantorvägen 4,"Bohuslän,Kungälvskommun",166,6,558,3625000
26-Sep-2023,Diamantvägen 34,"Kode,Kungälvskommun",123,5,559,2900000
25-Sep-2023,Tjäderstigen 8,"Centralt,Kungälvskommun",126,4,362,4760000
22-Sep-2023,Heavägen 31,"Lycke,Kungälvskommun",165+30,6,1553,5450000
17-Sep-2023,Beryllvägen 14,"Kode,Kungälvskommun",145,5,434,3900000
17-Sep-2023,Kornhall 290,"Kornhall,Kungälvskommun",134+7,5,1706,6100000
15-Sep-2023,Grindbacken 18,"Grinden,Kungälvskommun",124,4,932,7350000
15-Sep-2023,Korpvägen 273,"Ullstorp,Kungälvskommun",112,4,480,5050000
13-Sep-2023,Kristiansborg 300,"Bohuslän,Kungälvskommun",215+115,5,3121,5350000
7-Sep-2023,Glöskär 255,"Kärna,Kungälvskommun",111+22,4,2062,3520000
6-Sep-2023,Nolby 150,"Kode,Kungälvskommun",129,4,1724,4100000
5-Sep-2023,Skårby station 452,"Kareby,Kungälvskommun",122,2,2963,4395000
31-Aug-2023,Snäckvägen 11,"Kode,Kungälvskommun",39,3,1593,2150000
31-Aug-2023,Klockarvägen 1,"Bohuslän,Kungälvskommun",137,5,884,3000000
30-Aug-2023,Lilla Fjellsholmen 35,"Vedhall,Kungälvskommun",86,3,427,10000000
29-Aug-2023,Västra Röd 165,"Kärna,Kungälvskommun",151+20,5,2263,5995000
24-Aug-2023,Snorregatan 3B,"Komarken,Kungälvskommun",120+3,5,342,4225000
23-Aug-2023,Jägarvägen 13,"Romelanda,Kungälvskommun",162+14,5,569,3900000
23-Aug-2023,Rosenstensvägen 2,"Kungälv,Kungälvskommun",140,5,673,4800000
16-Aug-2023,Tröskvägen 260,"Ullstorp,Kungälvskommun",135,6,410,5600000
16-Aug-2023,Stora Lycke 400,"Bohuslän,Kungälvskommun",111+5,5,761,3650000
15-Aug-2023,Dösebacka 410,"Romelanda,Kungälvskommun",38+11,3,5960,2300000
9-Aug-2023,Mantalsgatan 9,"Tega,Kungälvskommun",175+35,7,1105,4725000
8-Aug-2023,Skälebräckeliden 9,"Centrum,Kungälvskommun",113+85,4,1608,6275000
4-Aug-2023,Norrmannebo 700,"Romelanda,Kungälvskommun",41,3,1182,1000000
28-Jul-2023,Bokvägen 14,"Fontin,centrum,Kungälvskommun",137,6,828,5100000
17-Jul-2023,Duvesjön 228,"Romelanda,Kungälvskommun",121+37,5,1150,4195000
17-Jul-2023,Klintegatan 22,"Centralt,Kungälvskommun",119+55,5,999,6500000
13-Jul-2023,Galärgatan 2,"KungälvCentrum,Kungälvskommun",103+60,5,749,4300000
13-Jul-2023,Ulvebackegatan 3,"Munkegärde,Kungälvskommun",129+44,5,927,4850000
11-Jul-2023,Vråstigen 4,"Överön,Kungälvskommun",81+57,4,2619,3775000
7-Jul-2023,Bergsvägen 11,"Rörtången/Ödsmålsmosse,Kungälvskommun",69,4,934,2000000
6-Jul-2023,Lundby 509,"Kareby,Kungälvskommun",166,6,1933,4900000
6-Jul-2023,Kastellegårdsgatan 29,"Komarken,Kungälvskommun",122+16,4,1033,5200000
4-Jul-2023,Sparråsvägen 140,"Kungälv-Ytterby,Kungälvskommun",137+19,4,961,3850000
4-Jul-2023,Dammen 160,"Kärna,Kungälvskommun",174+25,5,3234,3450000
4-Jul-2023,Önneröd 220,"Kärna,Kungälvskommun",112,4,2032,4200000
3-Jul-2023,Tulpanvägen 15,"Kärna,Kungälvskommun",105+140,4,914,3900000
2-Jul-2023,Rubinvägen 19,"Kode,Kungälvskommun",195,7,937,5050000
30-Jun-2023,Gårdskiftegatan 5,"Ytterby,Kungälvskommun",164+36,5,806,5250000
30-Jun-2023,Norrmannebo 270,"Romelanda,Kungälvskommun,Kungälvskommun",114+110,7,1400,4300000
29-Jun-2023,Dösebacka 120,"Romelanda,Kungälvskommun",64+53,3,3824,2960000
28-Jun-2023,Kärnavägen 16,"Kärna,Kungälvskommun",171+83,7,695,4300000
22-Jun-2023,Torp 250,"Kareby,Kungälvskommun",159+48,4,1608,3950000
21-Jun-2023,Korpvägen 279,"Ullstorp,Kungälvskommun",133+24,4,522,5850000
21-Jun-2023,Västra gatan 48,"Kungälv-Centralt,Kungälvskommun",136,5,937,6500000
23-Nov-2017,Sjöhåla 580,"Kovikshamn,Kungälvskommun",94+87,5,1068,3100000
18-Nov-2017,Galeasgatan 15,"Kungälv,Kungälvskommun",103+64,5,610,3850000
17-Nov-2017,Västerhöjdsvägen 36,"Kärna,Kungälvskommun",107,5,258,4000000
16-Nov-2017,Gråstensvägen 19,"KodeHalltorp,Kungälvskommun",94,5,1197,3200000
16-Nov-2017,Hägnan 135,"KAREBY,Kungälvskommun",235,6,104335,8800000
15-Nov-2017,Rishammarvägen 17,"Kareby,Kungälvskommun",120+80,6,1142,4375000
10-Nov-2017,Nygatan 14,"Marstrand-Koön,Kungälvskommun",167+80,6,677,10800000
5-Nov-2017,Granndalen 7,"Lycke,Kungälvskommun",50,2,1465,1875000
1-Nov-2017,Skårby 670,"Kareby,Kungälvskommun",143,6,4813,3000000
1-Nov-2017,Kodevägen 3,"KODE,Kungälvskommun",150+50,7,2025,4300000
31-Oct-2017,Matskärsvägen 12A,"Lycke,Kungälvskommun",145,6,249,4500000
31-Oct-2017,Årsnäs 290,"Årsnäs,Kungälvskommun",167,5,2558,4950000
27-Oct-2017,Staby 350,"Kärna,Kungälvskommun",110+80,4,911,2425000
27-Oct-2017,Vråstigen 6,"Överön/Vråkärr,Kungälvskommun",100,3,1453,2475000
26-Oct-2017,Bergkristallvägen 23,"Kode,Kungälvskommun",130,5,504,4780000
23-Oct-2017,Östra Gatan 9,"Centrum,Kungälvskommun",325+82,10,359,7900000
21-Oct-2017,Kållen 160,"Norrmannebo,Kungälvskommun",88,4,1819,1650000
20-Oct-2017,Fredkullagatan 8,"Komarken,Kungälvskommun",175+100,6,741,7160000
20-Oct-2017,Jakobsvägen 7,"Kode,Kungälvskommun",188,3,1324,5475000
16-Oct-2017,Mjölnarvägen 13,"Diseröd,Kungälvskommun",158+59,7,899,3965000
13-Oct-2017,Klövergången 15,"Centrum,Kungälvskommun",125,4,401,4150000
13-Oct-2017,Kulperödsvägen 5A,"Gullbringa,Kungälvskommun",100+20,5,450,2495000
13-Oct-2017,Stora Ryr 130,"Lycke,Kungälvskommun",80+20,5,2270,1600000
